time,Open,High,Low,Close,Volume
2021-08-10 12:17:00-04:00,145.9,145.94,145.895,145.925,1536
2021-08-10 12:18:00-04:00,145.91,145.93,145.9,145.93,2850
2021-08-10 12:19:00-04:00,145.95,145.96,145.91,145.915,1246
2021-08-10 12:20:00-04:00,145.945,145.96,145.92,145.92,1731
2021-08-10 12:21:00-04:00,145.94,145.955,145.88,145.88,1593
2021-08-10 12:22:00-04:00,145.9,145.9,145.89,145.89,857
2021-08-10 12:23:00-04:00,145.895,145.91,145.895,145.91,733
2021-08-10 12:24:00-04:00,145.9,145.92,145.9,145.92,1011
2021-08-10 12:25:00-04:00,145.92,145.97,145.92,145.93,1160
2021-08-10 12:26:00-04:00,145.91,145.94,145.91,145.94,599
2021-08-10 12:27:00-04:00,145.98,146.0,145.97,145.97,1570
2021-08-10 12:28:00-04:00,145.95,145.95,145.895,145.895,1001
2021-08-10 12:29:00-04:00,145.88,145.905,145.88,145.89,501
2021-08-10 12:30:00-04:00,145.85,145.85,145.835,145.835,787
2021-08-10 12:31:00-04:00,145.87,145.87,145.87,145.87,556
2021-08-10 12:32:00-04:00,145.85,145.85,145.805,145.81,1241
2021-08-10 12:33:00-04:00,145.825,145.825,145.81,145.81,400
2021-08-10 12:34:00-04:00,145.825,145.835,145.81,145.82,1408
2021-08-10 12:35:00-04:00,145.83,145.84,145.81,145.82,1233
2021-08-10 12:36:00-04:00,145.79,145.79,145.77,145.79,1003
2021-08-10 12:37:00-04:00,145.805,145.87,145.805,145.87,2273
2021-08-10 12:38:00-04:00,145.885,145.885,145.865,145.87,1136
2021-08-10 12:39:00-04:00,145.835,145.84,145.83,145.83,539
2021-08-10 12:40:00-04:00,145.85,145.85,145.82,145.82,803
2021-08-10 12:42:00-04:00,145.81,145.81,145.74,145.74,1495
2021-08-10 12:43:00-04:00,145.77,145.77,145.75,145.75,357
2021-08-10 12:44:00-04:00,145.75,145.77,145.74,145.74,1333
2021-08-10 12:45:00-04:00,145.77,145.78,145.74,145.76,642
2021-08-10 12:46:00-04:00,145.73,145.73,145.66,145.66,3031
2021-08-10 12:47:00-04:00,145.64,145.655,145.63,145.655,718
2021-08-10 12:48:00-04:00,145.66,145.67,145.63,145.63,2044
2021-08-10 12:49:00-04:00,145.62,145.62,145.55,145.59,3941
2021-08-10 12:50:00-04:00,145.605,145.69,145.6,145.68,1605
2021-08-10 12:51:00-04:00,145.71,145.71,145.68,145.68,725
2021-08-10 12:52:00-04:00,145.685,145.685,145.66,145.66,411
2021-08-10 12:53:00-04:00,145.64,145.65,145.64,145.64,593
2021-08-10 12:54:00-04:00,145.65,145.65,145.6,145.625,703
2021-08-10 12:55:00-04:00,145.61,145.61,145.58,145.61,1176
2021-08-10 12:56:00-04:00,145.595,145.6,145.595,145.6,308
2021-08-10 12:57:00-04:00,145.59,145.6,145.59,145.59,306
2021-08-10 12:58:00-04:00,145.59,145.59,145.58,145.58,399
2021-08-10 12:59:00-04:00,145.57,145.61,145.57,145.585,1301
2021-08-10 13:00:00-04:00,145.61,145.64,145.59,145.64,630
2021-08-10 13:01:00-04:00,145.665,145.67,145.665,145.67,272
2021-08-10 13:02:00-04:00,145.73,145.73,145.68,145.68,1311
2021-08-10 13:03:00-04:00,145.68,145.68,145.65,145.65,811
2021-08-10 13:04:00-04:00,145.67,145.68,145.66,145.66,911
2021-08-10 13:05:00-04:00,145.7,145.74,145.7,145.74,300
2021-08-10 13:06:00-04:00,145.68,145.68,145.67,145.67,428
2021-08-10 13:07:00-04:00,145.71,145.71,145.67,145.67,513
2021-08-10 13:08:00-04:00,145.66,145.69,145.66,145.69,529
2021-08-10 13:09:00-04:00,145.68,145.705,145.68,145.7,820
2021-08-10 13:10:00-04:00,145.68,145.68,145.68,145.68,198
2021-08-10 13:11:00-04:00,145.68,145.68,145.67,145.67,554
2021-08-10 13:12:00-04:00,145.71,145.71,145.7,145.7,390
2021-08-10 13:13:00-04:00,145.7,145.72,145.68,145.68,1058
2021-08-10 13:14:00-04:00,145.64,145.64,145.64,145.64,502
2021-08-10 13:15:00-04:00,145.64,145.65,145.64,145.65,603
2021-08-10 13:16:00-04:00,145.64,145.65,145.63,145.65,775
2021-08-10 13:17:00-04:00,145.66,145.675,145.65,145.65,643
2021-08-10 13:18:00-04:00,145.66,145.72,145.66,145.72,794
2021-08-10 13:19:00-04:00,145.71,145.71,145.7,145.7,379
2021-08-10 13:20:00-04:00,145.68,145.68,145.66,145.665,863
2021-08-10 13:21:00-04:00,145.65,145.65,145.64,145.64,312
2021-08-10 13:22:00-04:00,145.68,145.68,145.68,145.68,709
2021-08-10 13:23:00-04:00,145.65,145.65,145.61,145.615,998
2021-08-10 13:24:00-04:00,145.62,145.62,145.59,145.59,803
2021-08-10 13:25:00-04:00,145.58,145.59,145.56,145.56,623
2021-08-10 13:26:00-04:00,145.54,145.55,145.51,145.55,1096
2021-08-10 13:27:00-04:00,145.545,145.595,145.545,145.59,1225
2021-08-10 13:28:00-04:00,145.6,145.61,145.59,145.59,1054
2021-08-10 13:29:00-04:00,145.6,145.6,145.58,145.58,446
2021-08-10 13:30:00-04:00,145.505,145.505,145.505,145.505,384
2021-08-10 13:31:00-04:00,145.51,145.51,145.5,145.5,305
2021-08-10 13:32:00-04:00,145.59,145.59,145.58,145.59,681
2021-08-10 13:33:00-04:00,145.59,145.63,145.59,145.63,401
2021-08-10 13:34:00-04:00,145.61,145.61,145.61,145.61,338
2021-08-10 13:35:00-04:00,145.58,145.59,145.58,145.58,633
2021-08-10 13:36:00-04:00,145.56,145.56,145.55,145.56,730
2021-08-10 13:37:00-04:00,145.58,145.59,145.57,145.57,584
2021-08-10 13:38:00-04:00,145.55,145.58,145.55,145.58,606
2021-08-10 13:39:00-04:00,145.575,145.575,145.57,145.57,715
2021-08-10 13:40:00-04:00,145.56,145.575,145.56,145.57,547
2021-08-10 13:41:00-04:00,145.585,145.585,145.58,145.58,407
2021-08-10 13:42:00-04:00,145.56,145.57,145.55,145.55,1203
2021-08-10 13:43:00-04:00,145.575,145.575,145.56,145.56,1163
2021-08-10 13:44:00-04:00,145.595,145.605,145.57,145.6,1184
2021-08-10 13:45:00-04:00,145.6,145.62,145.6,145.62,2002
2021-08-10 13:46:00-04:00,145.63,145.63,145.55,145.55,248
2021-08-10 13:47:00-04:00,145.51,145.59,145.51,145.59,981
2021-08-10 13:48:00-04:00,145.55,145.55,145.52,145.52,217
2021-08-10 13:49:00-04:00,145.56,145.56,145.55,145.55,837
2021-08-10 13:50:00-04:00,145.555,145.57,145.555,145.56,966
2021-08-10 13:51:00-04:00,145.59,145.64,145.59,145.61,1132
2021-08-10 13:53:00-04:00,145.6,145.6,145.6,145.6,211
2021-08-10 13:54:00-04:00,145.625,145.63,145.61,145.61,1188
2021-08-10 13:55:00-04:00,145.61,145.63,145.61,145.62,615
2021-08-10 13:56:00-04:00,145.64,145.66,145.64,145.65,1901
2021-08-10 13:57:00-04:00,145.665,145.68,145.665,145.68,681
2021-08-10 13:58:00-04:00,145.68,145.68,145.67,145.67,1020
2021-08-10 13:59:00-04:00,145.695,145.695,145.65,145.65,1454
2021-08-10 14:00:00-04:00,145.66,145.66,145.645,145.66,1626
2021-08-10 14:01:00-04:00,145.645,145.66,145.635,145.655,11472
2021-08-10 14:02:00-04:00,145.625,145.64,145.6,145.6,2188
2021-08-10 14:03:00-04:00,145.61,145.61,145.59,145.6,778
2021-08-10 14:04:00-04:00,145.56,145.56,145.47,145.47,1275
2021-08-10 14:05:00-04:00,145.44,145.45,145.4,145.45,1869
2021-08-10 14:06:00-04:00,145.5,145.5,145.49,145.49,1118
2021-08-10 14:07:00-04:00,145.44,145.44,145.42,145.44,710
2021-08-10 14:08:00-04:00,145.41,145.41,145.4,145.4,852
2021-08-10 14:09:00-04:00,145.415,145.45,145.415,145.44,1097
2021-08-10 14:10:00-04:00,145.43,145.43,145.3,145.3,1883
2021-08-10 14:11:00-04:00,145.375,145.41,145.375,145.41,638
2021-08-10 14:12:00-04:00,145.42,145.42,145.41,145.41,834
2021-08-10 14:13:00-04:00,145.42,145.425,145.38,145.41,990
2021-08-10 14:14:00-04:00,145.41,145.41,145.385,145.39,660
2021-08-10 14:15:00-04:00,145.4,145.44,145.395,145.395,958
2021-08-10 14:16:00-04:00,145.41,145.45,145.41,145.41,1138
2021-08-10 14:17:00-04:00,145.42,145.42,145.395,145.4,565
2021-08-10 14:18:00-04:00,145.35,145.36,145.35,145.36,402
2021-08-10 14:19:00-04:00,145.4,145.43,145.39,145.43,587
2021-08-10 14:20:00-04:00,145.42,145.42,145.42,145.42,303
2021-08-10 14:21:00-04:00,145.405,145.425,145.405,145.425,401
2021-08-10 14:22:00-04:00,145.45,145.45,145.44,145.44,830
2021-08-10 14:23:00-04:00,145.46,145.475,145.46,145.47,548
2021-08-10 14:24:00-04:00,145.5,145.5,145.45,145.45,1034
2021-08-10 14:25:00-04:00,145.46,145.46,145.46,145.46,201
2021-08-10 14:26:00-04:00,145.47,145.48,145.46,145.48,359
2021-08-10 14:27:00-04:00,145.49,145.49,145.47,145.47,603
2021-08-10 14:28:00-04:00,145.51,145.51,145.51,145.51,361
2021-08-10 14:29:00-04:00,145.54,145.54,145.52,145.53,1259
2021-08-10 14:30:00-04:00,145.5,145.535,145.5,145.53,1357
2021-08-10 14:31:00-04:00,145.51,145.575,145.51,145.56,581
2021-08-10 14:32:00-04:00,145.57,145.57,145.57,145.57,201
2021-08-10 14:33:00-04:00,145.59,145.59,145.56,145.56,641
2021-08-10 14:34:00-04:00,145.59,145.6,145.575,145.575,407
2021-08-10 14:35:00-04:00,145.605,145.605,145.59,145.59,624
2021-08-10 14:36:00-04:00,145.58,145.58,145.58,145.58,266
2021-08-10 14:37:00-04:00,145.6,145.61,145.6,145.61,243
2021-08-10 14:38:00-04:00,145.61,145.63,145.61,145.63,957
2021-08-10 14:39:00-04:00,145.64,145.64,145.64,145.64,200
2021-08-10 14:40:00-04:00,145.6,145.6,145.6,145.6,314
