time,Open,High,Low,Close,Volume
2021-08-10 10:16:00-04:00,288.52,288.52,288.48,288.48,475
2021-08-10 10:17:00-04:00,288.37,288.49,288.35,288.49,1686
2021-08-10 10:18:00-04:00,288.32,288.32,288.32,288.32,481
2021-08-10 10:19:00-04:00,288.35,288.35,288.32,288.32,461
2021-08-10 10:21:00-04:00,288.35,288.47,288.35,288.47,532
2021-08-10 10:22:00-04:00,288.425,288.425,288.425,288.425,320
2021-08-10 10:23:00-04:00,288.43,288.45,288.43,288.45,602
2021-08-10 10:24:00-04:00,288.41,288.55,288.41,288.55,396
2021-08-10 10:25:00-04:00,288.43,288.43,288.22,288.22,569
2021-08-10 10:26:00-04:00,288.13,288.18,288.13,288.18,1238
2021-08-10 10:28:00-04:00,288.24,288.24,288.24,288.24,371
2021-08-10 10:29:00-04:00,288.1,288.1,288.05,288.05,418
2021-08-10 10:30:00-04:00,287.935,287.935,287.68,287.68,1832
2021-08-10 10:31:00-04:00,287.565,287.64,287.52,287.55,1429
2021-08-10 10:32:00-04:00,287.52,287.52,287.0,287.095,3138
2021-08-10 10:33:00-04:00,287.175,287.24,287.175,287.24,1181
2021-08-10 10:34:00-04:00,287.22,287.26,287.13,287.13,923
2021-08-10 10:35:00-04:00,287.2,287.25,287.2,287.25,1030
2021-08-10 10:36:00-04:00,287.31,287.31,287.24,287.31,815
2021-08-10 10:37:00-04:00,287.18,287.18,287.04,287.06,933
2021-08-10 10:38:00-04:00,287.02,287.02,287.01,287.01,496
2021-08-10 10:39:00-04:00,287.07,287.07,286.97,287.0,735
2021-08-10 10:40:00-04:00,286.88,286.88,286.51,286.51,1940
2021-08-10 10:41:00-04:00,286.48,286.48,285.865,286.025,2155
2021-08-10 10:42:00-04:00,286.01,286.11,285.93,286.09,1115
2021-08-10 10:43:00-04:00,286.14,286.15,286.14,286.15,896
2021-08-10 10:44:00-04:00,286.12,286.135,286.11,286.135,648
2021-08-10 10:46:00-04:00,286.55,286.69,286.55,286.69,680
2021-08-10 10:47:00-04:00,286.77,286.77,286.77,286.77,360
2021-08-10 10:48:00-04:00,286.75,286.75,286.71,286.71,856
