time,Open,High,Low,Close,Volume
2021-08-09 15:46:00-04:00,56.55,56.56,56.55,56.56,3198
2021-08-09 15:47:00-04:00,56.555,56.56,56.545,56.56,6086
2021-08-09 15:48:00-04:00,56.56,56.57,56.56,56.57,2500
2021-08-09 15:49:00-04:00,56.565,56.57,56.555,56.57,1339
2021-08-09 15:50:00-04:00,56.57,56.58,56.565,56.58,2313
2021-08-09 15:51:00-04:00,56.595,56.6,56.595,56.6,311
2021-08-09 15:52:00-04:00,56.605,56.63,56.605,56.62,2480
2021-08-09 15:53:00-04:00,56.615,56.615,56.59,56.59,993
2021-08-09 15:54:00-04:00,56.58,56.58,56.565,56.58,1369
2021-08-09 15:55:00-04:00,56.58,56.59,56.575,56.59,1854
2021-08-09 15:56:00-04:00,56.595,56.595,56.585,56.585,658
2021-08-09 15:57:00-04:00,56.575,56.59,56.57,56.59,3170
2021-08-09 15:58:00-04:00,56.59,56.595,56.58,56.595,3751
2021-08-09 15:59:00-04:00,56.59,56.665,56.59,56.65,3440
2021-08-10 09:30:00-04:00,56.89,56.89,56.79,56.805,2454
2021-08-10 09:31:00-04:00,56.81,56.86,56.78,56.86,5310
2021-08-10 09:32:00-04:00,56.85,57.025,56.85,57.02,5517
2021-08-10 09:33:00-04:00,57.025,57.04,57.01,57.01,2997
2021-08-10 09:34:00-04:00,57.005,57.015,56.96,56.96,1590
2021-08-10 09:35:00-04:00,56.94,56.94,56.86,56.91,5460
2021-08-10 09:36:00-04:00,56.91,56.91,56.89,56.9,1700
2021-08-10 09:37:00-04:00,56.9,56.92,56.875,56.875,1880
2021-08-10 09:39:00-04:00,56.865,56.89,56.865,56.89,1657
2021-08-10 09:40:00-04:00,56.925,56.925,56.925,56.925,513
2021-08-10 09:41:00-04:00,56.94,56.94,56.905,56.905,403
2021-08-10 09:42:00-04:00,56.905,56.905,56.905,56.905,502
2021-08-10 09:43:00-04:00,56.945,56.945,56.94,56.94,715
2021-08-10 09:44:00-04:00,56.93,56.96,56.93,56.96,1207
2021-08-10 09:45:00-04:00,56.985,57.0,56.98,56.985,1856
2021-08-10 09:46:00-04:00,56.985,56.985,56.97,56.97,2380
2021-08-10 09:47:00-04:00,56.965,56.965,56.93,56.93,1175
2021-08-10 09:48:00-04:00,56.96,56.96,56.935,56.955,1201
2021-08-10 09:49:00-04:00,56.95,56.97,56.95,56.97,790
2021-08-10 09:50:00-04:00,56.935,56.98,56.935,56.97,825
2021-08-10 09:51:00-04:00,56.955,56.955,56.875,56.875,1627
2021-08-10 09:52:00-04:00,56.885,56.885,56.845,56.845,601
2021-08-10 09:53:00-04:00,56.855,56.86,56.855,56.86,615
2021-08-10 09:54:00-04:00,56.88,56.88,56.855,56.855,605
2021-08-10 09:55:00-04:00,56.83,56.85,56.815,56.85,801
2021-08-10 09:56:00-04:00,56.885,56.96,56.885,56.955,2201
2021-08-10 09:57:00-04:00,56.97,56.97,56.935,56.94,2051
2021-08-10 09:58:00-04:00,56.985,57.015,56.98,57.015,962
2021-08-10 09:59:00-04:00,57.0,57.0,57.0,57.0,341
2021-08-10 10:00:00-04:00,56.95,56.995,56.95,56.97,2113
