time,Open,High,Low,Close,Volume
2021-08-09 09:56:00-04:00,94.39,94.4,94.2,94.2,1284
2021-08-09 09:57:00-04:00,94.33,94.33,94.18,94.22,914
2021-08-09 09:58:00-04:00,94.15,94.33,94.15,94.29,816
2021-08-09 09:59:00-04:00,94.22,94.295,94.15,94.23,801
2021-08-09 10:00:00-04:00,94.36,94.4,94.3,94.3,1200
2021-08-09 10:01:00-04:00,94.22,94.23,94.19,94.21,674
2021-08-09 10:03:00-04:00,94.01,94.01,93.84,93.94,2170
2021-08-09 10:04:00-04:00,93.955,93.955,93.945,93.945,440
2021-08-09 10:05:00-04:00,94.11,94.11,94.11,94.11,315
2021-08-09 10:06:00-04:00,94.01,94.08,94.01,94.08,282
2021-08-09 10:08:00-04:00,94.05,94.06,93.91,93.91,885
2021-08-09 10:09:00-04:00,93.66,93.72,93.63,93.63,482
2021-08-09 10:10:00-04:00,93.66,93.73,93.66,93.71,850
2021-08-09 10:11:00-04:00,93.69,93.75,93.69,93.73,502
2021-08-09 10:12:00-04:00,93.69,93.85,93.69,93.85,380
2021-08-09 10:13:00-04:00,94.04,94.18,94.04,94.14,600
2021-08-09 10:14:00-04:00,94.165,94.165,94.165,94.165,100
2021-08-09 10:15:00-04:00,94.2,94.25,94.2,94.25,200
2021-08-09 10:16:00-04:00,94.15,94.44,94.15,94.44,900
2021-08-09 10:17:00-04:00,94.49,94.51,94.44,94.5,1264
2021-08-09 10:18:00-04:00,94.62,94.69,94.6,94.6,618
2021-08-09 10:19:00-04:00,94.73,94.91,94.65,94.75,968
2021-08-09 10:20:00-04:00,94.98,94.98,94.98,94.98,100
2021-08-09 10:21:00-04:00,94.915,95.07,94.89,94.91,1000
2021-08-09 10:23:00-04:00,95.02,95.02,95.02,95.02,408
2021-08-09 10:24:00-04:00,95.005,95.03,95.005,95.01,312
2021-08-09 10:25:00-04:00,95.085,95.3,95.085,95.3,800
2021-08-09 10:26:00-04:00,95.38,95.47,95.38,95.47,500
2021-08-09 10:28:00-04:00,95.21,95.21,95.12,95.12,301
2021-08-09 10:29:00-04:00,94.965,94.965,94.965,94.965,414
2021-08-09 10:31:00-04:00,94.965,94.965,94.965,94.965,262
2021-08-09 10:32:00-04:00,94.92,94.92,94.89,94.895,1325
2021-08-09 10:33:00-04:00,94.96,94.96,94.92,94.93,504
2021-08-09 10:34:00-04:00,94.91,94.91,94.91,94.91,102
2021-08-09 10:35:00-04:00,95.07,95.07,95.07,95.07,100
2021-08-09 10:36:00-04:00,95.09,95.12,95.09,95.12,250
2021-08-09 10:37:00-04:00,95.12,95.165,95.12,95.165,403
2021-08-09 10:38:00-04:00,95.15,95.15,95.12,95.12,450
2021-08-09 10:39:00-04:00,94.84,94.84,94.84,94.84,539
2021-08-09 10:40:00-04:00,94.79,94.79,94.75,94.75,652
2021-08-09 10:41:00-04:00,94.81,94.81,94.81,94.81,105
2021-08-09 10:42:00-04:00,95.12,95.12,95.115,95.115,1456
2021-08-09 10:43:00-04:00,95.17,95.25,95.17,95.25,415
2021-08-09 10:44:00-04:00,95.23,95.3,95.23,95.3,830
2021-08-09 10:46:00-04:00,95.26,95.26,95.26,95.26,174
2021-08-09 10:47:00-04:00,95.345,95.36,95.345,95.36,200
2021-08-09 10:49:00-04:00,95.37,95.42,95.36,95.36,537
2021-08-09 10:50:00-04:00,95.23,95.44,95.23,95.44,1362
2021-08-09 10:51:00-04:00,95.59,95.59,95.51,95.51,325
2021-08-09 10:52:00-04:00,95.54,95.54,95.4,95.4,481
2021-08-09 10:54:00-04:00,95.38,95.53,95.38,95.53,825
2021-08-09 10:55:00-04:00,95.585,95.585,95.555,95.555,300
2021-08-09 10:56:00-04:00,95.585,95.585,95.585,95.585,120
2021-08-09 10:57:00-04:00,95.8,95.84,95.79,95.84,1013
2021-08-09 10:58:00-04:00,95.835,95.89,95.835,95.875,300
2021-08-09 10:59:00-04:00,95.87,95.87,95.71,95.725,2416
2021-08-09 11:00:00-04:00,95.7,95.7,95.63,95.63,325
2021-08-09 11:01:00-04:00,95.63,95.68,95.6,95.68,1012
2021-08-09 11:02:00-04:00,95.72,95.735,95.72,95.735,200
2021-08-09 11:03:00-04:00,95.72,95.72,95.655,95.655,325
2021-08-09 11:04:00-04:00,95.635,95.635,95.48,95.48,501
2021-08-09 11:05:00-04:00,95.48,95.545,95.48,95.545,380
2021-08-09 11:06:00-04:00,95.51,95.575,95.51,95.575,414
2021-08-09 11:07:00-04:00,95.78,95.78,95.78,95.78,171
2021-08-09 11:09:00-04:00,96.0,96.01,96.0,96.01,518
2021-08-09 11:10:00-04:00,95.9,95.98,95.9,95.96,882
2021-08-09 11:11:00-04:00,96.07,96.07,95.87,95.87,822
